"","X","mw","valid","month","weekday","hour","temp_virginia","temp_ohio","temp_mich","rel_hum_virginia","rel_hum_ohio","rel_hum_mich","virginia_temp_imputed","virginia_hum_imputed","ohio_temp_imputed","ohio_hum_imputed","mich_temp_imputed","mich_hum_imputed","temp_virginia_lag","temp_ohio_lag","temp_mich_lag","rel_hum_virginia_lag","rel_hum_ohio_lag","rel_hum_mich_lag","virginia_temp_imputed_lag","virginia_hum_imputed_lag","ohio_temp_imputed_lag","ohio_hum_imputed_lag","mich_temp_imputed_lag","mich_hum_imputed_lag","y_hat","error"
"1",1,3851.49,"2021-01-01 02:00:00","1","6","2",44.6,28,19,100,85.08,87.87,0,0,0,0,0,0,46.8,27,19,100,84.66,87.87,0,0,0,0,0,0,4128.00124051681,-276.511240516814
"2",2,3881.19,"2021-01-01 03:00:00","1","6","3",43,28,21,100,85.08,84.62,0,0,0,0,0,0,44.6,28,19,100,85.08,87.87,0,0,0,0,0,0,4187.494689366,-306.304689365997
"3",3,3932.15,"2021-01-01 04:00:00","1","6","4",41,28.9,21.9,100,85.14,84.68,0,0,0,0,0,0,43,28,21,100,85.08,84.62,0,0,0,0,0,0,4379.48391316546,-447.333913165462
"4",4,4026.921,"2021-01-01 05:00:00","1","6","5",40.3,30.9,21.9,100,82.15,84.68,0,0,0,0,0,0,41,28.9,21.9,100,85.14,84.68,0,0,0,0,0,0,4604.13042504715,-577.20942504715
"5",5,4168.409,"2021-01-01 06:00:00","1","6","6",40,32,21.9,100,78.58,88.4,0,0,0,0,0,0,40.3,30.9,21.9,100,82.15,84.68,0,0,0,0,0,0,4800.25313429604,-631.844134296036
"6",6,4303.682,"2021-01-01 07:00:00","1","6","7",39.2,32,24.1,100,78.58,80.59,0,0,0,0,0,0,40,32,21.9,100,78.58,88.4,0,0,0,0,0,0,4944.6146054708,-640.932605470801
"7",7,4396.796,"2021-01-01 08:00:00","1","6","8",36.5,32,25,100,81.55,80.66,0,0,0,0,0,0,39.2,32,24.1,100,78.58,80.59,0,0,0,0,0,0,5179.5722146003,-782.776214600297
"8",8,4527.551,"2021-01-01 09:00:00","1","6","9",35.6,33,26.1,100,84.36,80.75,0,0,0,0,0,0,36.5,32,25,100,81.55,80.66,0,0,0,0,0,0,5269.62906931679,-742.078069316785
"9",9,4640.036,"2021-01-01 10:00:00","1","6","10",35,33,28,100,88.23,81.25,0,0,0,0,0,0,35.6,33,26.1,100,84.36,80.75,0,0,0,0,0,0,5284.1798663201,-644.143866320102
"10",10,4704.645,"2021-01-01 11:00:00","1","6","11",34,34,28.9,100,92.29,78.3,0,0,0,0,0,0,35,33,28,100,88.23,81.25,0,0,0,0,0,0,5302.35350244998,-597.708502449981
"11",11,4727.174,"2021-01-01 12:00:00","1","6","12",34,34,30,100,96.46,78.4,0,0,0,0,0,0,34,34,28.9,100,92.29,78.3,0,0,0,0,0,0,5342.97824875307,-615.804248753072
"12",12,4711.184,"2021-01-01 13:00:00","1","6","13",33.8,37,30.9,100,92.76,75.59,0,0,0,0,0,0,34,34,30,100,96.46,78.4,0,0,0,0,0,0,5258.61061462498,-547.426614624982
"13",13,4697.649,"2021-01-01 14:00:00","1","6","14",34,41,30.9,100,92.52,71.535,0,0,0,0,0,0,33.8,37,30.9,100,92.76,75.59,0,0,0,0,0,0,5175.57078906363,-477.921789063629
"14",14,4683.142,"2021-01-01 15:00:00","1","6","15",33.4,41,32,100,92.52,84.98,0,0,0,0,0,0,34,41,30.9,100,92.52,71.535,0,0,0,0,0,0,5136.86193555326,-453.719935553264
"15",15,4721.916,"2021-01-01 16:00:00","1","6","16",34,41,33,100,92.52,84.36,0,0,0,0,0,0,33.4,41,32,100,92.52,84.98,0,0,0,0,0,0,5214.60945420251,-492.693454202506
"16",16,4827.243,"2021-01-01 17:00:00","1","6","17",34,43,33,100,92.58,88.23,0,0,0,0,0,0,34,41,33,100,92.52,84.36,0,0,0,0,0,0,5298.58078452988,-471.337784529882
"17",17,4820.369,"2021-01-01 18:00:00","1","6","18",34.7,43,33,100,92.58,91.51,0,0,0,0,0,0,34,43,33,100,92.58,88.23,0,0,0,0,0,0,5318.90520469882,-498.536204698823
"18",18,4744.202,"2021-01-01 19:00:00","1","6","19",33.8,44,33,100,95.88,91.51,0,0,0,0,0,0,34.7,43,33,100,92.58,91.51,0,0,0,0,0,0,5323.15893693355,-578.956936933554
"19",19,4656.356,"2021-01-01 20:00:00","1","6","20",34.2,47,33,100,93.06,91.51,0,0,0,0,0,0,33.8,44,33,100,95.88,91.51,0,0,0,0,0,0,5207.49488211702,-551.138882117025
"20",20,4526.498,"2021-01-01 21:00:00","1","6","21",35,50,33,100,89.04,91.51,0,0,0,0,0,0,34.2,47,33,100,93.06,91.51,0,0,0,0,0,0,4999.89029214091,-473.392292140913
"21",21,4387.249,"2021-01-01 22:00:00","1","6","22",35,49,33,100,89.67,91.51,0,0,0,0,0,0,35,50,33,100,89.04,91.51,0,0,0,0,0,0,4781.14941194606,-393.900411946065
"22",22,4232.136,"2021-01-01 23:00:00","1","6","23",35.2,47,32,100,86.21,92.22,0,0,0,0,0,0,35,49,33,100,89.67,91.51,0,0,0,0,0,0,4630.79944941152,-398.663449411519
"23",23,4099.4,"2021-01-02","1","7","0",36,46,32,100,86.16,92.22,0,0,0,0,0,0,35.2,47,32,100,86.21,92.22,0,0,0,0,0,0,4257.09795277903,-157.697952779025
"24",24,4006.933,"2021-01-02 01:00:00","1","7","1",36.5,47,32,100,79.82,92.22,0,0,0,0,0,0,36,46,32,100,86.16,92.22,0,0,0,0,0,0,4084.59262340918,-77.6596234091767
"25",25,3949.891,"2021-01-02 02:00:00","1","7","2",37.4,46,32,100,79.13,88.17,0,0,0,0,0,0,36.5,47,32,100,79.82,92.22,0,0,0,0,0,0,4057.06648276693,-107.175482766934
"26",26,3948.215,"2021-01-02 03:00:00","1","7","3",40,45,33,100,85.77,88.23,0,0,0,0,0,0,37.4,46,32,100,79.13,88.17,0,0,0,0,0,0,4011.7879112972,-63.5729112972049
